specimen,tax_name,tax_id,rank,tally,placements
p4z2r1,Clostridiales,186802,order,145.0,10
p4z2r38,Eggerthella,84111,genus,145.0,8
p4z2r78,Clostridiales,186802,order,145.0,6
p3z1r61,Eggerthella,84111,genus,144.0,25
p4z1r69,Atopobium,1380,genus,144.0,10
p4z1r24,Sneathia,168808,genus,143.0,16
p4z2r18,Lactobacillus,1578,genus,143.0,9
p4z2r22,Pseudomonas,286,genus,143.0,9
p4z2r27,Megasphaera,906,genus,143.0,5
p4z2r75,Pseudomonas,286,genus,142.0,7
p3z1r12,Atopobium,1380,genus,141.0,18
p3z1r33,Prevotella,838,genus,140.0,51
p4z1r4,Prevotella,838,genus,140.0,36
p4z2r31,Pseudomonas,286,genus,140.0,3
p2z1r66,Megasphaera,906,genus,139.0,15
p4z1r70,Lactobacillus,1578,genus,139.0,13
p2z1r69,Mycoplasma,2093,genus,137.0,15
